name,Total,Used,Available,Date
1,26,12,14,2020/2/19
1,382,342,40,2020/2/19
1,280,281,0,2020/2/19
1,1020,1020,0,2020/2/19
1,818,818,0,2020/2/19
1,226,189,37,2020/2/19
1,835,835,0,2020/2/19
1,255,153,102,2020/2/19
1,93,93,0,2020/2/19
1,135,132,3,2020/2/19
1,451,449,2,2020/2/19
1,1000,1089,0,2020/2/19
1,314,330,0,2020/2/19
1,600,576,24,2020/2/19
1,808,797,11,2020/2/19
1,200,149,51,2020/2/19
1,233,218,15,2020/2/19
1,182,182,0,2020/2/19
1,260,242,18,2020/2/19
1,350,323,27,2020/2/19
1,0,0,0,2020/2/19
1,270,253,17,2020/2/19
1,230,140,90,2020/2/19
1,0,0,0,2020/2/19
1,684,788,0,2020/2/18
1,122,145,0,2020/2/18
1,378,376,2,2020/2/18
1,504,436,68,2020/2/18
1,420,487,0,2020/2/18
1,268,272,0,2020/2/18
1,405,373,32,2020/2/18
1,400,356,44,2020/2/18
1,619,570,49,2020/2/18
1,152,128,24,2020/2/18
1,510,569,0,2020/2/18
1,600,583,17,2020/2/18
1,1050,1023,27,2020/2/18
1,810,770,40,2020/2/18
1,800,785,15,2020/2/18
1,393,365,28,2020/2/18
1,360,365,0,2020/2/18
1,500,462,38,2020/2/18
1,410,409,1,2020/2/18
1,305,299,6,2020/2/18
1,411,371,40,2020/2/18
1,200,230,0,2020/2/18
1,300,259,41,2020/2/18
1,288,210,78,2020/2/18
1,26,18,8,2020/2/18
1,380,343,37,2020/2/18
1,280,283,0,2020/2/18
1,1021,1021,0,2020/2/18
1,746,746,0,2020/2/18
1,226,176,50,2020/2/18
1,828,829,0,2020/2/18
1,255,153,102,2020/2/18
1,92,92,0,2020/2/18
1,135,131,4,2020/2/18
1,451,439,12,2020/2/18
1,1142,1093,49,2020/2/18
1,314,324,0,2020/2/18
1,895,445,450,2020/2/18
1,808,779,29,2020/2/18
1,156,146,10,2020/2/18
1,163,122,41,2020/2/18
1,110,115,0,2020/2/18
1,0,0,0,2020/2/18
1,600,248,352,2020/2/18
1,0,0,0,2020/2/18
1,200,174,26,2020/2/18
1,210,85,125,2020/2/18
1,0,0,0,2020/2/18
1,684,822,0,2020/2/17
1,122,152,0,2020/2/17
1,378,375,3,2020/2/17
1,504,465,39,2020/2/17
1,420,487,0,2020/2/17
1,268,275,0,2020/2/17
1,405,394,11,2020/2/17
1,400,352,48,2020/2/17
1,619,550,69,2020/2/17
1,152,133,19,2020/2/17
1,510,570,0,2020/2/17
1,600,598,2,2020/2/17
1,1050,1045,5,2020/2/17
1,810,777,33,2020/2/17
1,800,788,12,2020/2/17
1,393,361,32,2020/2/17
1,350,352,0,2020/2/17
1,500,461,39,2020/2/17
1,410,410,0,2020/2/17
1,305,299,6,2020/2/17
1,411,357,54,2020/2/17
1,200,232,0,2020/2/17
1,300,253,47,2020/2/17
1,288,215,73,2020/2/17
1,26,23,3,2020/2/17
1,380,333,47,2020/2/17
1,280,281,0,2020/2/17
1,1007,1007,0,2020/2/17
1,602,602,0,2020/2/17
1,226,179,47,2020/2/17
1,828,833,0,2020/2/17
1,237,154,83,2020/2/17
1,95,95,0,2020/2/17
1,135,127,8,2020/2/17
1,451,445,6,2020/2/17
1,1142,1082,60,2020/2/17
1,314,333,0,2020/2/17
1,490,359,131,2020/2/17
1,808,771,37,2020/2/17
1,156,141,15,2020/2/17
1,105,117,0,2020/2/17
1,110,114,0,2020/2/17
1,0,0,0,2020/2/17
1,600,159,441,2020/2/17
1,0,0,0,2020/2/17
1,150,150,0,2020/2/17
1,140,58,82,2020/2/17
1,0,0,0,2020/2/17
1,684,811,0,2020/2/16
1,122,160,0,2020/2/16
1,378,376,2,2020/2/16
1,504,481,23,2020/2/16
1,420,487,0,2020/2/16
1,268,288,0,2020/2/16
1,405,403,2,2020/2/16
1,400,350,50,2020/2/16
1,619,569,50,2020/2/16
1,152,139,13,2020/2/16
1,510,577,0,2020/2/16
1,600,616,0,2020/2/16
1,1050,1047,3,2020/2/16
1,810,778,32,2020/2/16
1,800,774,26,2020/2/16
1,393,371,22,2020/2/16
1,350,362,0,2020/2/16
1,500,485,15,2020/2/16
1,366,366,0,2020/2/16
1,305,299,6,2020/2/16
1,411,382,29,2020/2/16
1,200,231,0,2020/2/16
1,300,261,39,2020/2/16
1,288,237,51,2020/2/16
1,26,23,3,2020/2/16
1,353,328,25,2020/2/16
1,280,280,0,2020/2/16
1,1010,1010,0,2020/2/16
1,567,567,0,2020/2/16
1,226,191,35,2020/2/16
1,828,825,3,2020/2/16
1,237,182,55,2020/2/16
1,94,94,0,2020/2/16
1,135,130,5,2020/2/16
1,451,438,13,2020/2/16
1,1142,1052,90,2020/2/16
1,314,336,0,2020/2/16
1,360,246,114,2020/2/16
1,808,761,47,2020/2/16
1,110,110,0,2020/2/16
1,70,91,0,2020/2/16
1,100,99,1,2020/2/16
1,50,59,0,2020/2/16
1,600,155,445,2020/2/16
1,0,0,0,2020/2/16
1,150,153,0,2020/2/16
1,70,57,13,2020/2/16
1,0,0,0,2020/2/16
1,684,822,0,2020/2/15
1,122,133,0,2020/2/15
1,378,389,0,2020/2/15
1,504,471,33,2020/2/15
1,420,495,0,2020/2/15
1,268,297,0,2020/2/15
1,405,408,0,2020/2/15
1,370,342,28,2020/2/15
1,555,524,31,2020/2/15
1,167,145,22,2020/2/15
1,510,595,0,2020/2/15
1,600,616,0,2020/2/15
1,1050,1048,2,2020/2/15
1,791,791,0,2020/2/15
1,800,772,28,2020/2/15
1,393,350,43,2020/2/15
1,335,358,0,2020/2/15
1,500,476,24,2020/2/15
1,297,297,0,2020/2/15
1,293,298,0,2020/2/15
1,411,384,27,2020/2/15
1,200,236,0,2020/2/15
1,267,267,0,2020/2/15
1,288,237,51,2020/2/15
1,26,10,16,2020/2/15
1,353,328,25,2020/2/15
1,280,283,0,2020/2/15
1,1014,1014,0,2020/2/15
1,473,473,0,2020/2/15
1,226,191,35,2020/2/15
1,828,811,17,2020/2/15
1,259,216,43,2020/2/15
1,94,94,0,2020/2/15
1,135,127,8,2020/2/15
1,454,440,14,2020/2/15
1,1142,1052,90,2020/2/15
1,314,344,0,2020/2/15
1,200,143,57,2020/2/15
1,576,493,83,2020/2/15
1,110,113,0,2020/2/15
1,70,100,0,2020/2/15
1,100,99,1,2020/2/15
1,0,0,0,2020/2/15
1,0,0,0,2020/2/15
1,0,0,0,2020/2/15
1,0,0,0,2020/2/15
1,0,0,0,2020/2/15
1,0,0,0,2020/2/15
1,684,793,0,2020/2/14
1,122,142,0,2020/2/14
1,378,368,10,2020/2/14
1,504,479,25,2020/2/14
1,420,500,0,2020/2/14
1,268,276,0,2020/2/14
1,405,400,5,2020/2/14
1,370,348,22,2020/2/14
1,481,407,74,2020/2/14
1,167,146,21,2020/2/14
1,510,562,0,2020/2/14
1,600,474,126,2020/2/14
1,1050,1047,3,2020/2/14
1,791,791,0,2020/2/14
1,800,794,6,2020/2/14
1,393,360,33,2020/2/14
1,300,309,0,2020/2/14
1,500,463,37,2020/2/14
1,283,283,0,2020/2/14
1,293,305,0,2020/2/14
1,411,383,28,2020/2/14
1,200,250,0,2020/2/14
1,264,264,0,2020/2/14
1,288,238,50,2020/2/14
1,26,19,7,2020/2/14
1,353,333,20,2020/2/14
1,280,281,0,2020/2/14
1,1014,1014,0,2020/2/14
1,483,483,0,2020/2/14
1,226,190,36,2020/2/14
1,828,809,19,2020/2/14
1,259,212,47,2020/2/14
1,93,93,0,2020/2/14
1,135,120,15,2020/2/14
1,450,438,12,2020/2/14
1,842,629,213,2020/2/14
1,314,300,14,2020/2/14
1,200,143,57,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,0,0,0,2020/2/14
1,684,807,0,2020/2/13
1,122,145,0,2020/2/13
1,378,380,0,2020/2/13
1,504,509,0,2020/2/13
1,420,478,0,2020/2/13
1,268,290,0,2020/2/13
1,405,413,0,2020/2/13
1,370,324,46,2020/2/13
1,319,341,0,2020/2/13
1,167,151,16,2020/2/13
1,510,566,0,2020/2/13
1,600,383,217,2020/2/13
1,1050,1040,10,2020/2/13
1,778,778,0,2020/2/13
1,800,774,26,2020/2/13
1,333,314,19,2020/2/13
1,290,300,0,2020/2/13
1,500,462,38,2020/2/13
1,111,107,4,2020/2/13
1,300,300,0,2020/2/13
1,411,403,8,2020/2/13
1,200,254,0,2020/2/13
1,252,252,0,2020/2/13
1,288,238,50,2020/2/13
1,26,19,7,2020/2/13
1,353,320,33,2020/2/13
1,280,276,4,2020/2/13
1,1000,1000,0,2020/2/13
1,159,159,0,2020/2/13
1,229,187,42,2020/2/13
1,828,805,23,2020/2/13
1,259,217,42,2020/2/13
1,90,90,0,2020/2/13
1,135,112,23,2020/2/13
1,450,437,13,2020/2/13
1,635,614,21,2020/2/13
1,314,259,55,2020/2/13
1,200,121,79,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,0,0,0,2020/2/13
1,684,831,0,2020/2/12
1,122,142,0,2020/2/12
1,378,355,23,2020/2/12
1,504,511,0,2020/2/12
1,420,433,0,2020/2/12
1,268,294,0,2020/2/12
1,405,430,0,2020/2/12
1,370,304,66,2020/2/12
1,319,312,7,2020/2/12
1,167,151,16,2020/2/12
1,510,510,0,2020/2/12
1,300,338,0,2020/2/12
1,1050,1040,10,2020/2/12
1,787,787,0,2020/2/12
1,800,800,0,2020/2/12
1,237,232,5,2020/2/12
1,280,303,0,2020/2/12
1,500,485,15,2020/2/12
1,111,109,2,2020/2/12
1,277,288,0,2020/2/12
1,411,399,12,2020/2/12
1,200,254,0,2020/2/12
1,235,230,5,2020/2/12
1,288,223,65,2020/2/12
1,26,24,2,2020/2/12
1,336,316,20,2020/2/12
1,280,287,0,2020/2/12
1,1013,1013,0,2020/2/12
1,123,123,0,2020/2/12
1,229,178,51,2020/2/12
1,828,795,33,2020/2/12
1,252,203,49,2020/2/12
1,90,90,0,2020/2/12
1,90,98,0,2020/2/12
1,421,325,96,2020/2/12
1,444,445,0,2020/2/12
1,314,247,67,2020/2/12
1,200,99,101,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,0,0,0,2020/2/12
1,684,815,0,2020/2/11
1,122,143,0,2020/2/11
1,378,333,45,2020/2/11
1,504,517,0,2020/2/11
1,420,440,0,2020/2/11
1,268,291,0,2020/2/11
1,405,443,0,2020/2/11
1,304,315,0,2020/2/11
1,319,312,7,2020/2/11
1,167,151,16,2020/2/11
1,510,510,0,2020/2/11
1,300,335,0,2020/2/11
1,1050,1038,12,2020/2/11
1,791,791,0,2020/2/11
1,800,770,30,2020/2/11
1,237,228,9,2020/2/11
1,265,301,0,2020/2/11
1,480,477,3,2020/2/11
1,111,111,0,2020/2/11
1,277,288,0,2020/2/11
1,411,385,26,2020/2/11
1,200,221,0,2020/2/11
1,230,235,0,2020/2/11
1,288,240,48,2020/2/11
1,26,25,1,2020/2/11
1,339,304,35,2020/2/11
1,280,277,3,2020/2/11
1,924,924,0,2020/2/11
1,90,90,0,2020/2/11
1,229,171,58,2020/2/11
1,828,717,111,2020/2/11
1,230,191,39,2020/2/11
1,90,90,0,2020/2/11
1,90,98,0,2020/2/11
1,275,245,30,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,0,0,0,2020/2/11
1,684,816,0,2020/2/10
1,122,138,0,2020/2/10
1,278,286,0,2020/2/10
1,504,516,0,2020/2/10
1,420,435,0,2020/2/10
1,220,233,0,2020/2/10
1,405,453,0,2020/2/10
1,304,306,0,2020/2/10
1,319,319,0,2020/2/10
1,167,151,16,2020/2/10
1,510,510,0,2020/2/10
1,300,365,0,2020/2/10
1,1050,1038,12,2020/2/10
1,760,760,0,2020/2/10
1,800,727,73,2020/2/10
1,237,237,0,2020/2/10
1,265,312,0,2020/2/10
1,470,470,0,2020/2/10
1,109,109,0,2020/2/10
1,285,285,0,2020/2/10
1,411,404,7,2020/2/10
1,216,216,0,2020/2/10
